Fornecedor;Codigo;Municipio;Data;NEM;Mov;Empenho;Nota Fiscal;Lote;           Validade;Quantidade;Valor
SMS-MURIAE;314390;MURIAE;01/06/2021;2762598;1;NP;NP;210210;30/04/2022;60;3492
SMS-CCHAGA;311370;CARLOS CHAGAS;08/06/2021;2778143;1;NP;NP;210217;30/04/2022;200;11640
SMS-MDMINA;313910;MADRE DE DEUS DE MINAS;09/06/2021;2780944;1;NP;NP;210072;28/02/2022;10;10
SMS-MDMINA;313910;MADRE DE DEUS DE MINAS;09/06/2021;2780967;1;NP;NP;210143;31/03/2022;70;70
SMS-MDMINA;313910;MADRE DE DEUS DE MINAS;09/06/2021;2780967;1;NP;NP;210115;31/03/2022;190;190
SMS-VICOSA;317130;VICOSA;28/06/2021;2836490;1;NP;NP;215VCD154Z;13/11/2021;110;2185,7
SMS-PORTEI;315220;PORTEIRINHA;02/07/2021;2855682;1;NP;NP;210271;31/05/2022;100;5820
SMS-PCHIQU;315213;PONTO CHIQUE;05/07/2021;2862948;1;NP;NP;210271;31/05/2022;290;16878
SMS-SARZED;316553;SARZEDO;16/07/2021;2906069;1;NP;NP;214VCD099W;22/10/2021;155;3079,85
SMS-SARZED;316553;SARZEDO;16/07/2021;2906069;1;NP;NP;214VCD099W;22/10/2021;40;794,8
SMS-SJBICA;316292;SAO JOAQUIM DE BICAS;16/07/2021;2906353;1;NP;NP;FA9094;31/10/2021;18;900,4
SMS-CHNORT;311610;CHAPADA DO NORTE;22/07/2021;2927020;8;NP;NP;FA9095;31/10/2021;90;4456,71
SMS-MCLARO;314330;MONTES CLAROS;26/07/2021;2934289;1;NP;NP;C202106107;08/06/2022;6;349,2
SMS-MCLARO;314330;MONTES CLAROS;26/07/2021;2934289;1;NP;NP;210274;31/05/2022;1050;61110
SMS-JFORA;313670;JUIZ DE FORA;10/08/2021;2991637;1;NP;NP;210350;31/07/2022;10;582
SMS-VESPAS;317120;VESPASIANO;24/08/2021;3047077;1;NP;NP;210373;31/07/2022;750;43650
SMS-GRUPIA;312790;GRUPIARA;25/08/2021;3049362;1;NP;NP;FD7209;30/11/2021;30;1550,07
SMS-GRUPIA;312790;GRUPIARA;25/08/2021;3049362;1;NP;NP;FD7209;30/11/2021;18;933,53
SMS-GRUPIA;312790;GRUPIARA;25/08/2021;3049362;1;NP;NP;FD7219;30/11/2021;24;1247,47
SMS-GRUPIA;312790;GRUPIARA;25/08/2021;3049362;1;NP;NP;210185;30/11/2021;10;216,8
SMS-VLAPA;317160;VIRGEM DA LAPA;25/08/2021;3049667;1;NP;NP;FF2591;30/11/2021;138;7090,3
SMS-VLAPA;317160;VIRGEM DA LAPA;25/08/2021;3049667;1;NP;NP;FD7210;30/11/2021;144;7554,82
SMS-DGUANH;312310;DORES DE GUANHAES;26/08/2021;3054450;1;NP;NP;FD7209;30/11/2021;36;1860,08
