URS;REQUISITANTE;NFM;FABRICANTE;VACINA;DATA;MOV;LOTE;VALIDADE; QUANTIDADE ; VALOR 
MANHUACU;Requisitante: GERENCIA REGIONAL DE SAUDE DE MANHUACU/MG;9038173;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 6.080 ; 353.856 
MANHUACU;Requisitante: GERENCIA REGIONAL DE SAUDE DE MANHUACU/MG;9086208;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 2.240 ; 130.368 
MANHUACU;Requisitante: GERENCIA REGIONAL DE SAUDE DE MANHUACU/MG;9344173;FUNDACAO BUTANTAN;CORONAVAC;11/03/2021;14;202010038;27/10/2023; 14 ; 815 
MANHUACU;Requisitante: GERENCIA REGIONAL DE SAUDE DE MANHUACU/MG;10465746;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 1.540 ; 89.628 
MONTES CLAROS;Requisitante: GERENCIA REGIONAL DE SAUDE DE MONTES CLAROS/MG;9038003;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010031;21/10/2023; 26.640 ; 1.550.448 
MONTES CLAROS;Requisitante: GERENCIA REGIONAL DE SAUDE DE MONTES CLAROS/MG;9086213;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 2.480 ; 144.336 
MONTES CLAROS;Requisitante: GERENCIA REGIONAL DE SAUDE DE MONTES CLAROS/MG;10466030;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 3.320 ; 193.224 
POUSO ALEGRE;Requisitante: GERENCIA REGIONAL DE SAUDE DE POUSO ALEGRE/MG;9038360;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 3.000 ; 174.600 
POUSO ALEGRE;Requisitante: GERENCIA REGIONAL DE SAUDE DE POUSO ALEGRE/MG;9038360;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010031;21/10/2023; 15.080 ; 877.656 
POUSO ALEGRE;Requisitante: GERENCIA REGIONAL DE SAUDE DE POUSO ALEGRE/MG;9086515;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 4.560 ; 265.392 
POUSO ALEGRE;Requisitante: GERENCIA REGIONAL DE SAUDE DE POUSO ALEGRE/MG;10466129;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 3.700 ; 215.340 
PASSOS;Requisitante: GERENCIA REGIONAL DE SAUDE DE PASSOS/MG;9037975;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 9.480 ; 551.736 
PASSOS;Requisitante: GERENCIA REGIONAL DE SAUDE DE PASSOS/MG;9086454;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 5.280 ; 307.296 
PASSOS;Requisitante: GERENCIA REGIONAL DE SAUDE DE PASSOS/MG;10466196;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 1.820 ; 105.924 
PATOS DE MINAS;Requisitante: GERENCIA REGIONAL DE SAUDE DE PATOS DE MINAS/MG;9037981;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 8.400 ; 488.880 
PATOS DE MINAS;Requisitante: GERENCIA REGIONAL DE SAUDE DE PATOS DE MINAS/MG;9086464;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 2.640 ; 153.648 
PATOS DE MINAS;Requisitante: GERENCIA REGIONAL DE SAUDE DE PATOS DE MINAS/MG;10466053;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 2.020 ; 117.564 
PEDRA AZUL;Requisitante: GERENCIA REGIONAL DE SAUDE DE PEDRA AZUL/MG;9038009;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 3.320 ; 193.224 
PEDRA AZUL;Requisitante: GERENCIA REGIONAL DE SAUDE DE PEDRA AZUL/MG;9086483;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 1.000 ; 58.200 
PEDRA AZUL;Requisitante: GERENCIA REGIONAL DE SAUDE DE PEDRA AZUL/MG;10466040;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 940 ; 54.708 
PIRAPORA;Requisitante: GERENCIA REGIONAL DE SAUDE DE PIRAPORA/MG;9038011;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010031;21/10/2023; 1.560 ; 90.792 
PIRAPORA;Requisitante: GERENCIA REGIONAL DE SAUDE DE PIRAPORA/MG;9086497;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 1.000 ; 58.200 
PIRAPORA;Requisitante: GERENCIA REGIONAL DE SAUDE DE PIRAPORA/MG;9344205;FUNDACAO BUTANTAN;CORONAVAC;11/03/2021;14;202010038;27/10/2023; 10 ; 582 
PIRAPORA;Requisitante: GERENCIA REGIONAL DE SAUDE DE PIRAPORA/MG;10466138;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 440 ; 25.608 
PONTE NOVA;Requisitante: GERENCIA REGIONAL DE SAUDE DE PONTE NOVA/MG;9038361;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010031;21/10/2023; 7.240 ; 421.368 
PONTE NOVA;Requisitante: GERENCIA REGIONAL DE SAUDE DE PONTE NOVA/MG;9086505;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 1.200 ; 69.840 
PONTE NOVA;Requisitante: GERENCIA REGIONAL DE SAUDE DE PONTE NOVA/MG;9344266;FUNDACAO BUTANTAN;CORONAVAC;11/03/2021;14;202010038;27/10/2023; 9 ; 524 
PONTE NOVA;Requisitante: GERENCIA REGIONAL DE SAUDE DE PONTE NOVA/MG;10466058;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 1.780 ; 103.596 
SAO JOAO DEL REI;Requisitante: GERENCIA REGIONAL DE SAUDE DE SAO JOAO DEL REI/MG;9038180;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 6.320 ; 367.824 
SAO JOAO DEL REI;Requisitante: GERENCIA REGIONAL DE SAUDE DE SAO JOAO DEL REI/MG;9086524;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 1.360 ; 79.152 
SAO JOAO DEL REI;Requisitante: GERENCIA REGIONAL DE SAUDE DE SAO JOAO DEL REI/MG;9255123;FUNDACAO BUTANTAN;CORONAVAC;26/02/2021;14;202010038;27/10/2023; 16 ; 931 
SAO JOAO DEL REI;Requisitante: GERENCIA REGIONAL DE SAUDE DE SAO JOAO DEL REI/MG;10466471;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 1.260 ; 73.332 
SETE LAGOAS;Requisitante: GERENCIA REGIONAL DE SAUDE DE SETE LAGOAS/MG;9038618;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 11.880 ; 691.416 
SETE LAGOAS;Requisitante: GERENCIA REGIONAL DE SAUDE DE SETE LAGOAS/MG;9086530;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 1.680 ; 97.776 
SETE LAGOAS;Requisitante: GERENCIA REGIONAL DE SAUDE DE SETE LAGOAS/MG;10466458;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 2.480 ; 144.336 
TEOFILO OTONI;Requisitante: GERENCIA REGIONAL DE SAUDE DE TEOFILO OTONI/MG;9038020;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 11.920 ; 693.744 
TEOFILO OTONI;Requisitante: GERENCIA REGIONAL DE SAUDE DE TEOFILO OTONI/MG;9086535;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 4.800 ; 279.360 
TEOFILO OTONI;Requisitante: GERENCIA REGIONAL DE SAUDE DE TEOFILO OTONI/MG;10466489;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 1.540 ; 89.628 
UBA;Requisitante: GERENCIA REGIONAL DE SAUDE DE UBA/MG;9038176;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010031;21/10/2023; 11.920 ; 693.744 
UBA;Requisitante: GERENCIA REGIONAL DE SAUDE DE UBA/MG;9086556;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 1.080 ; 62.856 
UBA;Requisitante: GERENCIA REGIONAL DE SAUDE DE UBA/MG;10466416;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 2.040 ; 118.728 
UBERABA;Requisitante: GERENCIA REGIONAL DE SAUDE DE UBERABA/MG;9038016;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 13.680 ; 796.176 
UBERABA;Requisitante: GERENCIA REGIONAL DE SAUDE DE UBERABA/MG;9086566;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 2.680 ; 155.976 
UBERABA;Requisitante: GERENCIA REGIONAL DE SAUDE DE UBERABA/MG;10466497;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 2.960 ; 172.272 
UBERLANDIA;Requisitante: GERENCIA REGIONAL DE SAUDE DE UBERLANDIA/MG;9038104;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010031;21/10/2023; 20.560 ; 1.196.592 
UBERLANDIA;Requisitante: GERENCIA REGIONAL DE SAUDE DE UBERLANDIA/MG;9086572;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 4.800 ; 279.360 
UBERLANDIA;Requisitante: GERENCIA REGIONAL DE SAUDE DE UBERLANDIA/MG;10466399;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 4.160 ; 242.112 
UNAI;Requisitante: GERENCIA REGIONAL DE SAUDE DE UNAI/MG;9037996;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 3.720 ; 216.504 
UNAI;Requisitante: GERENCIA REGIONAL DE SAUDE DE UNAI/MG;9086590;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 800 ; 46.560 
UNAI;Requisitante: GERENCIA REGIONAL DE SAUDE DE UNAI/MG;10466435;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 1.000 ; 58.200 
VARGINHA;Requisitante: GERENCIA REGIONAL DE SAUDE DE VARGINHA/MG;9037978;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202010038;27/10/2023; 17.120 ; 996.384 
VARGINHA;Requisitante: GERENCIA REGIONAL DE SAUDE DE VARGINHA/MG;9086595;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 3.560 ; 207.192 
VARGINHA;Requisitante: GERENCIA REGIONAL DE SAUDE DE VARGINHA/MG;10466376;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 3.620 ; 210.684 
BELO HORIZONTE;Requisitante: HOSPITAL EDUARDO DE MENEZES - BELO HORIZONTE/MG;9051558;FUNDACAO BUTANTAN;CORONAVAC;20/01/2021;14;202009013;28/09/2023; 1.746 ; 101.617 
BELO HORIZONTE;Requisitante: HOSPITAL JULIA KUBITSCHEK/MG;9051523;FUNDACAO BUTANTAN;CORONAVAC;20/01/2021;14;202009013;28/09/2023; 3.268 ; 190.198 
BELO HORIZONTE;Requisitante: HOSPITAL POLICIA MILITAR - BELO HORIZONTE/MG;9051411;FUNDACAO BUTANTAN;CORONAVAC;20/01/2021;14;202009013;28/09/2023; 1.868 ; 108.718 
BELO HORIZONTE;Requisitante: SECRETARIA MUNICIPAL DE SAUDE DE BELO HORIZONTE/MG;9038374;FUNDACAO BUTANTAN;CORONAVAC;19/01/2021;14;202009013;28/09/2023; 135.720 ; 7.898.904 
BELO HORIZONTE;Requisitante: SECRETARIA MUNICIPAL DE SAUDE DE BELO HORIZONTE/MG;9086850;FUNDACAO BUTANTAN;CORONAVAC;27/01/2021;14;202010038;27/10/2023; 720 ; 41.904 
BELO HORIZONTE;Requisitante: SECRETARIA MUNICIPAL DE SAUDE DE BELO HORIZONTE/MG;9268879;FUNDACAO BUTANTAN;CORONAVAC;01/03/2021;14;202010038;27/10/2023; 2.000 ; 116.400 
BELO HORIZONTE;Requisitante: SECRETARIA MUNICIPAL DE SAUDE DE BELO HORIZONTE/MG;9562438;FUNDACAO BUTANTAN;CORONAVAC;09/04/2021;14;202010038;27/10/2023; 640 ; 37.248 
BELO HORIZONTE;Requisitante: SECRETARIA MUNICIPAL DE SAUDE DE BELO HORIZONTE/MG;10464471;FUNDACAO BUTANTAN;CORONAVAC;09/07/2021;14;C202106107;08/06/2022; 8.440 ; 491.208 
BELO HORIZONTE;Requisitante: SECRETARIA MUNICIPAL DE SAUDE DE BELO HORIZONTE/MG;10797025;FUNDACAO BUTANTAN;CORONAVAC;10/08/2021;14;C202106107;08/06/2022; 340 ; 19.788 
BELO HORIZONTE;Requisitante: SECRETARIA MUNICIPAL DE SAUDE DE BELO HORIZONTE/MG;10797025;FUNDACAO BUTANTAN;CORONAVAC;10/08/2021;14;L202106038;17/06/2022; 6.200 ; 360.840 
ALFENAS;Requisitante: GERENCIA REGIONAL DE SAUDE DE ALFENAS/MG;11076686;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 320 ; 18.624 
BARBACENA;Requisitante: GERENCIA REGIONAL DE SAUDE DE BARBACENA/MG;11076422;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 600 ; 34.920 
BELO HORIZONTE;Requisitante: GERENCIA REGIONAL DE SAUDE DE BELO HORIZONTE/MG;11074420;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 2.960 ; 172.272 
CORONEL FABRICIANO;Requisitante: GERENCIA REGIONAL DE SAUDE DE CORONEL FABRICIANO/MG;11076452;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 840 ; 48.888 
DIAMANTINA;Requisitante: GERENCIA REGIONAL DE SAUDE DE DIAMANTINA/MG;11076738;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 400 ; 23.280 
DIVINOPOLIS;Requisitante: GERENCIA REGIONAL DE SAUDE DE DIVINOPOLIS/MG;11076847;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 1.160 ; 67.512 
GOVERNADOR VALADARES;Requisitante: GERENCIA REGIONAL DE SAUDE DE GOVERNADOR VALADARES/MG;11077369;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 600 ; 34.920 
ITABIRA;Requisitante: GERENCIA REGIONAL DE SAUDE DE ITABIRA/MG;11076575;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 400 ; 23.280 
ITUIUTABA;Requisitante: GERENCIA REGIONAL DE SAUDE DE ITUIUTABA/MG;11075672;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 200 ; 11.640 
JANUARIA;Requisitante: GERENCIA REGIONAL DE SAUDE DE JANUARIA/MG;11077141;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 440 ; 25.608 
JUIZ DE FORA;Requisitante: GERENCIA REGIONAL DE SAUDE DE JUIZ DE FORA/MG;11077443;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 760 ; 44.232 
LEOPOLDINA;Requisitante: GERENCIA REGIONAL DE SAUDE DE LEOPOLDINA/MG;11076614;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 120 ; 6.984 
MANHUACU;Requisitante: GERENCIA REGIONAL DE SAUDE DE MANHUACU/MG;11076350;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 480 ; 27.936 
MONTES CLAROS;Requisitante: GERENCIA REGIONAL DE SAUDE DE MONTES CLAROS/MG;11076652;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 1.200 ; 69.840 
POUSO ALEGRE;Requisitante: GERENCIA REGIONAL DE SAUDE DE POUSO ALEGRE/MG;11075862;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 1.000 ; 58.200 
PASSOS;Requisitante: GERENCIA REGIONAL DE SAUDE DE PASSOS/MG;11077044;FUNDACAO BUTANTAN;CORONAVAC;02/09/2021;14;202107101H;23/07/2022; 440 ; 25.608 
